"companyName","jobTitle","question","answer","date"
"Innovid","Data Science Team Lead","Q: Related with Generic Code and Core Statistics and ML concepts.","Going back on my brain to my academic times.","12 de oct. de 2021"
"Tiendanube","Data Engineer","Que cambio estas buscando? Por qué? Expectativas?","","21 de sep. de 2021"
"MURAL CA","Data Analyst","Experiencia con SQL y Python","","20 de sep. de 2021"
"ExxonMobil","Data Analyst","Qué estudie, si tengo conocimientos en contaduría, donde trabaje previamente, que herramientas de IT uso.","","14 de ago. de 2021"
"IBM","Data Analyst","Preguntas estándar sobre objetivos y capacitación","","13 de jul. de 2021"
"Innovid","Data Scientist","Describe the chain rule with 3 parameters","","12 de jul. de 2021"
"DISQO","Data Engineer","During the online interview, they just asked me about my experience in previous roles","I talked about my previous jobs","25 de jun. de 2021"
"Accenture","Data Engineer","Como me sentiria en el rol? Si me sentiria comoda coacheando a programadores junior?","","25 de jun. de 2021"
"CoreBI","Data Scientist","conocimientos previos, gustos y personalidad.","","25 de jun. de 2021"
"Nielsen","Junior Data Analyst","Que programas de programación sabía usar y en que ocasiones los había implementado","","22 de jun. de 2021"
"VTEX"," ","The technical interview consisted in two parts. The first one was generating various visualizations from a dataset. The second one was performing an API request.","","18 de jun. de 2021"
"Avature","Data Analyst","Cómo me sentiría trabajando en una empresa que funciona como una pyme siento que vengo de multinacionales.","","15 de jun. de 2021"
"Grupo Newsan","analista de datos","Porque me interesaba el cargo, mi experiencia en el área.","","18 de may. de 2021"
"Alexander Mann Solutions","Big Data Engineer","Como te ves en 10 años ?","","2 de may. de 2021"
"Nielsen","Sr Data Analyst","Como se comporta el modelo de Regresion Lineal y KKN?","","26 de abr. de 2021"
"Globant","Data Analyst","Que cambio implementaste en tu último trabajo? Como lo conseguiste? Mejoro la dinámica de trabajo?","","15 de abr. de 2021"
"IBM","Data Analyst","Que es el patrimonio neto ?","","6 de abr. de 2021"
"Datalytics","Data Engineer","Definir DW, Datalake, modelos de DW.","","31 de mar. de 2021"
"Tiendanube","Data Scientist","- Instancia técnica con problemas de análisis y problem solving - Instancia de fit cultural","","26 de mar. de 2021"
"Ualá","Data Scientist","Por qué elegí Ualá como posible destino?","","18 de mar. de 2021"
"Ualá","Data Scientist","Qué librerías para el armado de modelo de datos en Python conoces?","","18 de mar. de 2021"
"Linde","Data Scientist","- Métricas de Accuracy (Las cuales no aclararon que querían eso en el enunciado). - Sugerencias para mejorar el modelo y la asignación.","","14 de mar. de 2021"
"PwC","Senior Data Scientist","Experiencia laboral, detalle de personal a cargo, habilidades blandas, formación académica. Solo cuando me entrevisto el manager de otro país tuve algunas preguntas técnicas que escaparon a mi conocimiento.","","9 de mar. de 2021"
"Syneos Health","Junior Data Analyst","Las preguntas son las típicas de entrevistas laborales","","17 de feb. de 2021"
"PRISMA Medios de Pago","Data Analyst","Preguntas sobre sql Preguntas sobre herramientas de visualización","","13 de feb. de 2021"
"Google","Data Analyst","Cómo me veo en los próximos 5 años. Si me veo negociando con clientes. Expectativa salarial.","","5 de feb. de 2021"
"MightyHive"," ","Google Analytics, Tableau, Excel, Power BI, etc.","Resolviendo ejercicios","4 de feb. de 2021"
"Tiendanube","Data Science Manager","En las distintas instancias hubo preguntas de problemáticas humanas que me tocó enfrentar, casos técnicos para resolver y preguntas más de liderazgo.","","29 de ene. de 2021"
"Tiendanube","Data Science Manager","¿Cuál fue la charla más dura que tuviste que enfrentar como manager?","","13 de ene. de 2021"
"Telecom Argentina","Data Analyst","Experiencia, Educación, Herramientas que manejaba, Por qué me postulé al puesto, Qué hago en mi tiempo libre, Por qué buscaba un cambio de donde me encontraba, etc...","","21 de dic. de 2020"
"CoreBI","Data Engineer","herramientas conocidas ,lenguajes conocidos, procesos conocidos?","","17 de dic. de 2020"
"Jam City","Data Scientist","Preguntas tecnicas y funcionales varias","","7 de dic. de 2020"
"Trafilea","Marketing Data Analyst","How would you interact with agressive person you are working with for a project?","","14 de nov. de 2020"
"Trafilea","Marketing Data Analyst","Tell us 1 strength and 1 weakness of your previous job manager?","","14 de nov. de 2020"
"Trafilea","Marketing Data Analyst","Which type of management do you prefer?","","14 de nov. de 2020"
"Trafilea","Marketing Data Analyst","How do you manage your work time?","","14 de nov. de 2020"
"Tiendanube","Data Scientist","Aspectos técnicos y de características del negocio.","Si se tiene una perspectiva de negocios y de análisis de datos, sobre todo si se tiene experiencia afín a la empresa, entonces no habría problema.","3 de nov. de 2020"
"MetLife","Pasante Data Science","Conocimientos de data science, charla en ingles.","","6 de oct. de 2020"
"Genzyme Genetics","Data Science","dificultades sociales, capacidades con analisis de datos, explicar problemas con empresas anteriores","","4 de oct. de 2020"
"Tiendanube","Data Scientist","De donde aprendo? Que fue lo ultimo que aprendí","","28 de sep. de 2020"
"BairesDev","Data Scientist","Qué es data science? Que es business intelligence?","","4 de sep. de 2020"
"Dicsys","Junior Data Analyst","Me consultaron si tenia conocimientos del programa R y cual era el nivel del mismo.","","9 de ago. de 2020"
"Wix","Data Analyst","Tell me about a time you learned something from a colleague","","26 de jul. de 2020"
"BairesDev","Data Science Technical Lead","General database and programming questions, IQ and reasoning tests","General database and programming knowledge","22 de jul. de 2020"
"Wunderman Thompson","Data Analyst","Hablar sobre la experiencia obtenida en otros empleos","","21 de jul. de 2020"
"Wildlife Studios","Data Scientist","Te hacen preguntas tecnicas y como solucionas problemas","","19 de jun. de 2020"
"Nielsen","Data Analyst","Qué es una regresión lineal simple?","","15 de jun. de 2020"
"Taller Technologies","Data Scientist","Que sabia de python","","29 de ene. de 2020"
"Logyt sudamerica","analista de datos","Conocimiento de formateo y extracción de datos con Qlink View","","22 de ene. de 2020"
"Trafilea","Data Scientist","Cosas tipicas como ""contame una vez que algo haya salido mal en tu trabajo y qué aprendiste de eso"".","","28 de nov. de 2019"
"Jampp","Data Scientist","Preguntas personales (facultad, intereses)","","21 de nov. de 2019"
"S and P Global","Research Data Analyst","How would you react in the following situations? (regarding daily tasks as work)","","23 de sep. de 2019"
"Baker Hughes","Data Analyst","Experiencias previas con el rubro de oil and gas en ingles de forma de corroborar tu nivel de lenguaje y las actividades anteriores","un overview de todos los proyectos realizados anteriormente, lo importante es tener buen manejo del idioma.","6 de jul. de 2019"
"Contacto Garantido","Data Scientist","Dibuje una casa","Dibuje la casa apoyada en el suelo y tal cual recomiendan dibujarla","4 de jul. de 2019"
"Jampp","Data Engineer","personales","","12 de jun. de 2019"
"Parexel","Marketing Data Analyst","Experiencia en viajes por trabajo o negocios a nivel internacional","Que tenia bastante experiencia entre Mexico, Estados Unidos y Argentina","12 de jun. de 2019"
"Parexel","Marketing Data Analyst","Que si tenia mi status migratorio en regla para trabajar en Argentina ( soy Mexicano)","Si","12 de jun. de 2019"
"Parexel","Marketing Data Analyst","en la primera entrevista es en español, por parte de RH local y solo es para ver si tienes el perfil y te preguntan por tu nivel de ingles","al decir que si, el resto de las entrevistas son en ingles con personas de Estados Unidos y de Inglaterra","12 de jun. de 2019"
"Accenture","analista de datos","Preguntas en general con tests de problemas para resolver","","12 de jun. de 2019"
"Parexel","Marketing Data Analyst","Experiencia en bases de datos y conocimiento de Excel a nivel formulas ?","Describi todas mis funciones en mi carrera profesional usando excel así como ejemplo de sus fórmulas ( ellos confían en que digas la verdad pues no ha solicitado ningún test )","12 de jun. de 2019"
"Quales Group","analista de datos","Me pareció bueno que preguntarán disponibilidad horaria en lugar de directamente tirar ""el trabajo es entre tal y tal hora, x días a la semana""","Yo tenía disponibilidad horaria acordé a la solicitada.","12 de jun. de 2019"
"BairesDev","Data Scientist","Q: What are the possible drawbacks of a linear regression model?","","21 de mar. de 2018"
"BairesDev","Data Scientist","Q: What is a star schema?","","21 de mar. de 2018"
"BairesDev","Data Scientist","Q: What is the law of the large numbers?","As sample size grows , its mean gets closer to the average of whole population.","21 de mar. de 2018"
"BairesDev","Data Scientist","Q: What is a random forest?","","21 de mar. de 2018"
"BairesDev","Data Scientist","Q: How do you implement a decision tree training algorithm?","","21 de mar. de 2018"
"Despegar com","Data Analyst","How and when I used PCA (Principal Components analysis) and the results.","To reduce dimensionality, tried it many times and results where almost trivial.","12 de dic. de 2017"
"Emergencias Argentina","Senior Data Analyst","latest jobs, family, studies and how resolve common problems,","","10 de dic. de 2015"